Any;mes;dia;C_HORA_TRUCADA;D_COORD_GEO_IMPACTE
2014;3;21;99;28641547 84724430
2014;8;17;99;77
2014;1;16;99;30466021 82117076
2013;10;29;99;30859360 87426848
2013;8;29;19,4;27210047 81792825
2013;12;27;99;77
2014;1;21;99;27180444 82446635
2014;2;7;99;77
2013;4;21;99;77
2013;1;24;99;77
2013;9;28;99;32328640 83675546
2014;6;18;99;29002987 83045346
2014;1;26;99;77
2014;6;4;99;77
2013;10;4;99;29371076 81908974
2014;7;17;99;77
2013;11;5;99;32161053 88557442
2013;3;19;99;77
2013;8;17;99;77
2014;8;10;99;77
2013;11;8;99;29592178 82160411
2013;6;11;99;31163460 86443963
2014;9;29;99;30669109 83613363
2014;3;13;99;77
2013;4;17;99;77
2013;6;23;99;427163.453, 4579136.468
2013;9;11;99;31701612 82199785
2013;1;1;99;32156507 86195712
2014;8;16;99;27895074 82793138
2013;11;7;99;77
2013;10;19;99;32111181 84631746
2013;12;18;99;30016962 82208071
2014;3;24;99;28096983 82922104
2013;8;29;99;31832451 84547782
2013;1;8;99;31993391 81757293
2014;10;12;22;77
2013;7;21;99;28590218 86987472
2014;2;4;99;29120654 86142352
2014;3;5;99;27753513 79775323
2014;10;14;99;33182851 86361278
2014;7;10;99;31878892 87510860
2014;11;30;99;30879835 83235290
2013;7;16;99;77
2014;2;26;99;77
2014;10;23;99;29130112 83096576
2014;10;10;99;32752750 88936345
2014;12;17;99;28026489 84508262
2013;7;8;99;28726304 83938520
2014;12;17;99;31907865 81935775
2014;11;11;99;32006111 88888308
2013;3;16;99;77
2014;7;29;99;28704465 82958977
2014;1;25;99;33908791 83803216
2013;8;10;99;30689708 82150136
2013;4;30;99;77
2013;1;12;99;29171433 82300652
2013;11;20;99;31241193 84217547
2013;6;21;99;27254288 84165487
2013;12;15;99;77
2013;5;23;99;77
2013;3;6;99;77
2013;12;5;99;30120021 81140177
2014;6;25;99;77
2013;6;5;99;77
2013;8;15;99;30602184 84881783
2014;3;5;99;27876269 80995232
2013;10;22;99;27111293 84064833
2013;4;20;99;33897280 83784442
2014;7;25;99;33512617 86376405
2014;11;28;99;32133900 85357110
2014;12;17;99;31947250 83867272
2014;7;17;99;31580803 84968624
2013;7;14;99;425234.642, 4581316.310
2014;6;5;99;26506764 82206527
2014;3;15;99;29279370 83512382
2014;9;11;99;427266.808, 4580084.792
2013;2;19;99;31296303 84167336
2013;11;7;99;31082996 83045160
2013;12;7;99;27579397 83897094
2013;12;12;99;28671952 81695163
2014;2;30;99;77
2013;3;7;99;77
2013;2;20;99;30403387 82220483
2014;3;31;99;31269034 82061019
2014;12;1;99;31951715 87702260
2014;7;21;99;34418300 84774530
2014;7;17;99;28747439 83309132
2013;8;26;99;32497783 88359586
2013;4;3;99;31955346 86879087
2013;12;17;99;32219468 84171212
2014;5;2;99;30009735 83125246
2013;10;8;99;29586496 81495437
2014;5;30;99;27830938 84281811
2013;1;11;99;32560291 82023493
2013;4;11;99;28776896 82493264
2013;4;16;99;26884632 81028711
2014;1;1;99;25379650 81842847
2013;4;10;99;27133028 84219823
2013;7;1;99;30079439 83013122
2013;9;29;99;29365039 87318934
2013;5;25;99;30402727 82211735
2014;6;11;99;31725419 83910948
2013;12;18;99;31866032 82241400
2014;4;24;99;32425956 88913834
2013;6;3;99;424879.296, 4580003.924
2014;6;8;99;77
2013;8;20;99;29786750 82878945
2014;4;13;99;77
2014;8;26;99;77
2014;12;22;99;31400020 83826512
2014;1;12;99;32665472 88885591
2013;2;14;99;28401797 82743175
2013;9;6;99;31548205 83693789
2013;11;19;99;77
2014;10;14;99;27958914 80009069
2014;12;23;99;33009638 83735579
2014;6;15;99;77
2014;11;10;99;77
2013;9;27;99;77
2014;10;8;99;31188671 84282599
2013;3;11;99;33995323 85882115
2013;10;8;99;34357676 83962461
2013;5;5;99;77
2014;6;1;16,1;30344476 82256654
2014;11;22;99;28394949 82101273
2014;1;19;99;30165170 82734556
2013;3;18;99;28366687 78573419
2014;8;14;99;27086356 81673989
2013;6;30;99;31888602 84502305
2013;5;18;99;32534531 85982894
2013;2;10;99;26817952 82143112
2014;2;17;99;77
2014;2;22;99;77
2014;7;18;99;29010572 83793755
2013;8;2;99;28688533 82405723
2014;6;18;99;427057.227, 4579758.848
2013;2;14;99;426217.773, 4578554.773
2013;4;2;99;77
2013;5;6;99;30951152 83868307
2014;11;19;99;29992393 83368987
2013;3;17;99;30853198 84806725
2014;4;9;99;77
2014;4;7;99;77
2013;6;1;99;28131881 82805584
2014;7;11;99;27753713 85264864
2013;10;12;99;31277041 84186000
2013;9;11;99;28717422 83340829
2014;4;21;99;32940718 85814196
2014;7;16;99;26216698 84283235
2014;7;25;99;31097527 84179522
